Actual,CNN_Prediction,Real_SNN_Prediction,True_Hybrid_Prediction,CNN_Error,SNN_Error,Hybrid_Error
17.6846162,17.415022679460957,17.977247067583516,17.63991243470998,0.2695935205390434,-0.2926308675835152,0.04470376529001996
17.8692435,16.6634273015389,17.751912900103047,17.098821469438985,1.2058161984611004,0.11733059989695249,0.770422030561015
17.0226782,16.455775805605366,18.476653405321553,17.26412684549184,0.566902394394635,-1.4539752053215516,-0.24144864549183964
15.1936643,15.814358242643788,15.5573744260201,15.711564727915242,-0.6206939426437881,-0.36371012602010033,-0.5179004279152419
13.380734299999999,13.704051681650594,13.836213000906422,13.756916113985493,-0.323317381650595,-0.45547870090642384,-0.3761818139854949
11.071367,11.645994254244282,12.070278950823262,11.815707989824727,-0.5746272542442821,-0.9989119508232616,-0.7443409898247264
10.597827800000001,10.142859288347676,10.186284848345235,10.1602295123467,0.454968511652325,0.4115429516547664,0.43759828765330155
10.681733000000001,9.645541974199727,10.00080043901296,9.787645169390156,1.0361910258002744,0.680932560987042,0.8940878306098448
10.8586613,9.687503167284444,10.614225693834737,10.05819208253713,1.171158132715556,0.24443560616526305,0.8004692174628705
11.646016499999998,10.551487275255635,11.223486252916768,10.820286580217793,1.0945292247443632,0.4225302470832304,0.825729919782205
13.2032321,12.061613150728657,12.53352553476186,12.250377961290791,1.1416189492713418,0.6697065652381387,0.952854138709208
14.3763109,14.236858018530324,15.370278664720967,14.690226279986813,0.13945288146967627,-0.993967764720967,-0.3139153799868133
15.4875959,15.007609390510037,15.575063773287251,15.234591164482548,0.47998650948996335,-0.0874678732872507,0.25300473551745206
16.4807693,15.714211829794362,16.840963908327534,16.164912649286702,0.7665574702056368,-0.3601946083275358,0.3158566507132967
17.3158005,16.577871152056172,17.987286397112324,17.14163739312978,0.7379293479438296,-0.6714858971123228,0.17416310687022118
18.1329875,17.033858367098286,18.29059249986501,17.536552020204976,1.0991291329017123,-0.1576049998650113,0.5964354797950229
18.6209807,17.563993521822407,18.656664677751973,18.001062222612813,1.056987178177593,-0.03568397775197241,0.6199184773871877
18.4281502,17.867302485598042,19.39695818055959,18.47916490663381,0.5608477144019588,-0.968807980559589,-0.051014706633807805
18.3656105,18.0779963218102,19.304263898027852,18.568503447664693,0.2876141781897985,-0.9386533980278529,-0.20289294766469368
18.8778652,18.011364050997212,19.09905321229787,18.446439810884907,0.8665011490027865,-0.22118801229787266,0.4314253891150912
19.3320651,18.497463770998433,20.050699063433125,19.118758031023457,0.8346013290015684,-0.718633963433124,0.21330706897654395
19.104618300000002,18.67139322389455,19.826487847460225,19.133431264055684,0.433225076105451,-0.7218695474602228,-0.02881296405568179
18.1012064,18.37807995904775,19.486490079058125,18.82144434083791,-0.27687355904775046,-1.3852836790581264,-0.7202379408379116
17.5307647,17.65139538873525,18.29878933061452,17.910353013170674,-0.1206306887352504,-0.7680246306145229,-0.3795883131706752
17.4059542,16.624007531298115,17.93386060823293,17.147949048174336,0.7819466687018846,-0.5279064082329299,0.25800515182566386
16.2673712,15.695510753286793,16.244559951914265,15.915130444658711,0.571860446713206,0.022811248085734093,0.3522407553412883
14.3070899,14.104244001997426,14.500648566378072,14.262805827749684,0.20284589800257358,-0.19355866637807218,0.044284072250315276
12.7373766,12.395692654741719,12.202344485414937,12.318353243959859,0.3416839452582803,0.5350321145850625,0.4190233560401406
10.9092179,11.127919741762593,11.549109049929097,11.296395131243184,-0.21870184176259322,-0.6398911499290971,-0.38717723124318404
10.5468342,10.36656267274709,10.705292531145528,10.502054520739033,0.18027152725290918,-0.15845833114552832,0.04477967926096582
10.7188039,10.228836842668965,10.21044523347707,10.221480198992207,0.4899670573310342,0.5083586665229287,0.497323701007792
11.0550449,10.419249840868428,10.737560101641133,10.54657394517751,0.6357950591315724,0.31748479835886734,0.5084709548224904
11.798843,11.23585707773061,11.511103459490254,11.345955678118184,0.5629859222693891,0.2877395405097456,0.4528873218818159
13.4490178,12.908417411936238,13.15595180620046,13.007431098116353,0.540600388063762,0.2930659937995408,0.44158670188364724
14.8412085,14.415547677172139,15.659944840563252,14.913306542528584,0.42566082282786155,-0.8187363405632517,-0.07209804252858376
15.8985168,15.50184065927358,16.20674569238515,15.783802696360066,0.3966761407264201,-0.30822889238515216,0.11471410363993328
17.2208882,16.258223124636128,17.256279297960713,16.65744573701711,0.9626650753638728,-0.03539109796071216,0.5634424629828914
18.4406024,17.134159871233418,18.558501549852803,17.703896590364888,1.3064425287665813,-0.11789914985280348,0.7367058096351116
19.3141644,17.960205622805073,19.234021969927266,18.469732113970235,1.3539587771949257,0.08014243007273336,0.8444322860297646
20.1625583,18.595654793871358,20.251144238604024,19.257850476396992,1.566903506128643,-0.08858593860402308,0.9047078236030082
20.96368,18.977413960588887,20.592706509722188,19.62353117097707,1.9862660394111131,0.37097349027781235,1.3401488290229295
21.539690800000002,19.601930924547627,21.885868855608418,20.515506573809102,1.9377598754523753,-0.34617805560841575,1.0241842261909007
22.081329399999998,20.021925278795674,22.402258702410176,20.97405893434377,2.0594041212043237,-0.32092930241017825,1.107270465656228
22.525222000000003,20.253944226396992,22.036682912004903,20.96703989137502,2.2712777736030105,0.4885390879951004,1.5581821086249832
22.6805245,20.308975525988057,21.946644612444356,20.96404344667287,2.3715489740119438,0.7338798875556449,1.7164810533271293
22.0765254,20.050700970781758,21.91941625703664,20.79818708528371,2.0258244292182432,0.15710914296336043,1.2783383147162901
21.3774825,19.624176808489278,21.25855714906545,20.27792913545461,1.7533056915107217,0.11892535093454981,1.0995533645453897
